"Município";"Pib"
"Milagres do Maranhão (MA)";"64355"
"Mirador (MA)";"277841"
"Miranda do Norte (MA)";"788634"
"Mirinzal (MA)";"112073"
"Monção (MA)";"257693"
"Montes Altos (MA)";"86501"
"Morros (MA)";"149936"
"Nina Rodrigues (MA)";"88539"
"Nova Colinas (MA)";"86441"
"Nova Iorque (MA)";"50977"
"Nova Olinda do Maranhão (MA)";"183185"
"Olho d'Água das Cunhãs (MA)";"188405"
"Olinda Nova do Maranhão (MA)";"107307"
"Paço do Lumiar (MA)";"1240527"
"Palmeirândia (MA)";"139135"
"Paraibano (MA)";"183383"
"Parnarama (MA)";"323004"
"Passagem Franca (MA)";"200120"
"Pastos Bons (MA)";"309545"
"Paulino Neves (MA)";"118360"
"Paulo Ramos (MA)";"194181"
"Pedreiras (MA)";"787721"
"Pedro do Rosário (MA)";"157904"
"Penalva (MA)";"253791"
"Peri Mirim (MA)";"95959"
"Peritoró (MA)";"230472"
"Pindaré-Mirim (MA)";"296247"
"Pinheiro (MA)";"1040054"
"Pio XII (MA)";"191368"
"Pirapemas (MA)";"130801"
"Poção de Pedras (MA)";"163110"
"Porto Franco (MA)";"1026129"
"Porto Rico do Maranhão (MA)";"45867"
"Presidente Dutra (MA)";"755768"
"Presidente Juscelino (MA)";"84499"
"Presidente Médici (MA)";"60695"
"Presidente Sarney (MA)";"165015"
"Presidente Vargas (MA)";"76191"
"Primeira Cruz (MA)";"89108"
"Raposa (MA)";"286199"
"Riachão (MA)";"673241"
"Ribamar Fiquene (MA)";"124208"
"Rosário (MA)";"443240"
"Sambaíba (MA)";"474716"
"Santa Filomena do Maranhão (MA)";"60216"
"Santa Helena (MA)";"358032"
"Santa Inês (MA)";"1466090"
"Santa Luzia (MA)";"743553"
"Santa Luzia do Paruá (MA)";"253366"
"Santa Quitéria do Maranhão (MA)";"218496"
"Santa Rita (MA)";"354687"
"Santana do Maranhão (MA)";"74107"
"Santo Amaro do Maranhão (MA)";"95956"
